,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[ 2.  4.  2. 15.],-0.01,-0.01,0.0,-0.00990081,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.010435916056469985,-0.01,0.0,0.0,-0.01
[ 2.  1.  0. 15.],-0.015313435576222799,-9.929078089851792e-06,-4.913224820529799e-06,-9.635093588815264e-05,-9.229660477235246e-05,-0.009801000060730616,-9.000029444822141e-05,-0.00017116793513452232,-0.010000000056026295,-0.010001556163312806,-0.009999999999990159,-0.009515067103302004,-2.231167795208516e-06,-0.009902947809344996,-0.00017383326565004845,-0.00990427255290643
[ 2.  3.  0. 15.],-0.0099,-7.938810000000001e-07,0.0,-0.009999999935046055,-0.009999999872677277,-0.009999999936390667,-0.009899999999990876,0.0,0.0,0.0,-7.860022482307902e-07,-0.009899999881971263,-0.01,0.0,0.0,-7.780827681000002e-07
[ 1.  5.  0. 25.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999992997255088,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0
[ 2.  5.  1. 25.],-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0
[ 1.  1.  2. 15.],-0.00017628063533092037,-8.371371495090381e-05,-8.639542226799385e-05,-8.725349076168105e-05,-8.732643273084623e-05,-9.694297720431385e-05,-8.383633218166789e-05,-3.273875971915065e-06,0.0,-2.3302213516654217e-06,-8.89542040056464e-05,-8.4160951232857e-05,0.0,-8.553854931299652e-05,-1.6076704655303845e-06,-0.009900809997776205
[ 1.  1.  2. 20.],-0.00922438643280162,-0.00035025071238933397,-0.009620739339753513,-0.009999993034752576,-8.905798313751755e-05,-8.909340833007941e-05,-0.010000786005214703,-0.00017535607758955413,-8.820899998586768e-05,-0.009999936436213058,-0.0001786312500387021,-0.01,7.938810000000001e-07,-8.907842813983949e-05,6.561000000000002e-11,-0.010000770917412688
[ 2.  4.  3. 20.],-0.0199,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.01
[ 1.  1.  1. 20.],-0.009999997094843062,-7.896028555911686e-07,-0.01,-5.234839142448429e-09,-3.152253742834625e-06,-8.302491261285606e-05,-0.009897726402601666,-1.4006051375914568e-08,0.0,-8.891243876877373e-05,-7.217100000000002e-09,-0.009999999033992497,0.0,0.0,-0.009999999937264246,-0.009899992996693537
[ 2.  1.  1. 20.],-0.009801129743835686,-0.01,-9.560708159667047e-06,-0.01,-9.372372035496216e-05,-0.01,-0.01,-9.074869311974207e-05,-0.01,-6.0716035036808605e-06,-0.010001481056903332,-0.009999999999432777,-0.01,-0.0099999999988769,-0.009999992926520292,-0.010006071603503681
[ 3.  2.  1. 20.],-0.0199,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
[ 3.  2.  2. 20.],-0.0199,-0.01,-0.01,-0.01,0.0,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.0199,-0.01,0.0,0.0,-0.01
[ 3.  1.  0. 15.],-0.018917559484836408,-0.019701,-0.0199,-0.0198874536409,-0.019801,-0.019702990000000004,-0.00998732691,-0.0199,-0.019801,-0.0199,-0.019801,-0.0199,-0.0199,-0.0199,-0.0199,-0.019801
[ 3.  2.  0. 15.],-0.0196059601,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.019801,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
[ 2.  0.  0. 10.],-0.0003903861736036045,-0.00014681351903072772,-7.815926883191197e-05,-8.630725544505867e-05,-0.00013218926281281774,-0.00015901612620136495,-0.00012709423887310824,-7.717393487503936e-05,-0.00012583250257653902,-7.392616684945223e-05,-0.00990000707347962,-0.009800999999989866,0.0,-6.625118853062707e-06,-6.331114214017613e-05,-0.0001406215974614196
[ 2.  1.  0. 10.],-0.00977163008130982,-0.00017882201848304184,-5.980341474034801e-05,-0.009899999999442336,0.0,-0.009999999999986709,-7.400758788071184e-07,0.0,0.0,-6.663326372049654e-09,-6.663326372049654e-09,-0.00024089568941062348,0.0,-0.01,-4.924697190539672e-05,-0.00013774947186930464
[ 2.  2.  0. 10.],-0.009999999936443854,-5.654363209699543e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.06648795859299e-11,0.0,0.0,0.0,0.0
[ 3.  2.  0. 10.],-0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
[ 3.  3.  0. 15.],0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,-0.009801,0.0,0.0,0.0,0.0
[ 2.  0.  0. 15.],-0.019679646920272936,-0.0002485348899767368,-1.5413036328467047e-06,-0.01,-3.946222111014811e-06,-0.00999999999998483,-5.419555509212302e-05,0.0,-6.207686459875001e-05,-2.193876239793978e-12,-0.009999999999999998,-0.006466172277776565,0.0,0.0,-0.01,-0.0003528098040501814
